stage,time,monsterInfo,line
1,5,0,2
1,15,0,2
1,25,0,2
1,40,first,2
1,40,0,2
1,42,0,2
1,42,0,2
1,43,0,2
1,45.2,0,2
1,69,0,2
1,80,0,2
1,90,second,2
1,90.5,0,2
1,91,0,2
1,92,0,2
1,95,0,2
1,98,0,2
2,5,0,2
2,15,1,2
2,21,0,2
2,35,0,2
2,48,1,2
2,60,first,2
2,60,0,2
2,61,0,2
2,61.5,1,2
2,62,0,2
2,64.5,0,2
2,66,1,2
2,84,0,2
2,100,1,2
2,120,second,2
2,120,1,2
2,121,0,2
2,121.7,0,2
2,123,1,2
2,125,0,2
2,126,0,2
3,5,2,2
3,20,0,2
3,30,0,2
3,39,0,2
3,59,first,2
3,60,1,2
3,60,0,2
3,61,0,2
3,61.5,1,2
3,62,2,2
3,62.5,1,2
3,64,0,2
3,79,2,2
3,95,0,2
3,97,1,2
3,118,second,2
3,118,0,2
3,120,1,2
3,121,0,2
3,121.5,2,2
3,122.5,2,2
3,123,0,2
3,123,1,2
3,123.5,1,2
3,123.5,2,2
4,5,1,2
4,9,1,2
4,15,0,2
4,30,0,2
4,50,1,2
4,67,first,2
4,68,0,2
4,69,2,2
4,69.5,2,2
4,70.3,2,2
4,73,1,2
4,74,0,2
4,75,5,2
4,77,5,2
4,90,5,2
4,106,0,2
4,109,5,2
4,125,second,2
4,125.5,2,2
4,126,1,2
4,127,2,2
4,128,1,2
4,129,5,2
4,129.6,5,2
4,132,2,2
4,132,1,2
4,133,0,2
4,134,0,2
4,134,5,2
4,134,5,2
4,134.5,5,2
4,135,5,2
5,7,5,2
5,10,0,2
5,13.5,0,2
5,15,1,2
5,20,2,2
5,24,1,2
5,25,5,2
5,33,1,2
5,48,first,2
5,48,0,2
5,48,0,2
5,49,1,2
5,49,2,2
5,50,2,2
5,50.5,1,2
5,51,2,2
5,52,0,2
5,52.5,5,2
5,53,5,2
5,53,5,2
5,54,5,2
5,70,0,2
5,79,5,2
5,88,1,2
5,97,2,2
5,106,5,2
5,110,2,2
5,127.7,second,2
5,128,0,2
5,129,0,2
5,129.7,1,2
5,131,2,2
5,131,1,2
5,131.5,2,2
5,133,0,2
5,133.5,2,2
5,133.5,5,2
5,135,2,2
5,135,5,2
5,136,5,2
5,137,5,2
5,139,0,2
5,140,5,2
